Date,Category,Category Group,Amount,Currency,Member,Account,Tags,Memo,Income/Expenses,Last updated,UUID
20260921,Health,,166500,UGX,Self,Mobile Money,,Maureen Asio,Out,2026-09-21 13:48:19,E3C69159-90A9-465E-94DA-B3362D06EF8A
20260921,Health,,45000,UGX,Self,Mobile Money,,Health Okay,Out,2026-09-21 13:27:26,B6AD75D4-439A-41FB-9D28-E62A8DDFF7D7
20260921,Car,,10000,UGX,Self,Mobile Money,,Toll road,Out,2026-09-21 13:27:17,64536C05-5C4F-479A-B790-CCB3E947812A
20260920,Health,,80000,UGX,Self,Mobile Money,,Sseguku,Out,2026-09-21 06:28:37,CD5F5E90-BCF3-4468-9928-76EAAD072AD6
20260920,Natural Health,,70000,UGX,Self,Mobile Money,,,Out,2026-09-21 06:28:23,2C02569D-80F2-4230-AF13-AEE2B1BF2314
20260919,Natural Health,,70000,UGX,Self,Mobile Money,,Sol Food,Out,2026-09-19 18:32:18,0ADD930D-8B55-4266-8652-6B0A65EB0300
20260919,Health,,30000,UGX,Self,Mobile Money,,Pharmacy,Out,2026-09-19 18:28:53,390A6A58-53F9-4FBA-8534-702A66A5B39F
20260919,Transaction Fees,,3000,UGX,Self,Mobile Money,,,Out,2026-09-19 15:18:00,11EBDD42-7FBF-4E48-9E42-AF56441F2408
20260919,Health,,45500,UGX,Self,Mobile Money,,Pharmacy,Out,2026-09-19 15:08:39,BF57F620-7E53-4421-B81C-DCF157F0AB42
20260919,Help,,200000,UGX,Self,Mobile Money,,,In,2026-09-19 15:08:27,9CB306D9-C266-4AFC-AEFE-EC9F0D1627A3
20260919,Phone,,1000,UGX,Self,Mobile Money,,Airtime,Out,2026-09-19 12:17:20,A8A6E9C1-1435-4D16-BCDF-C21319C8F15F
20260919,Utilities,,11000,UGX,Self,Mobile Money,,Electricity,Out,2026-09-19 07:51:45,95298933-814D-4643-84B1-6D2F06808921
20260918,Car,,15000,UGX,Self,Mobile Money,,Toll roads,Out,2026-09-19 07:51:17,959266CD-1FBF-44C4-926E-8284FE7E1DAE
