Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=1776419074

---

"2026  —  MONTHLY DETAIL BY CATEGORY (income & expenses, year to date)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Income (UGX),Health (UGX),Car (UGX),Groceries (UGX),Loans/Lending (UGX),Subscriptions (UGX),Apartment Bills (UGX),Staff (UGX),Phone (UGX),Utilities (UGX),Food (UGX),Gift (UGX),Office (UGX),Fam (UGX),Savings (UGX),Books (UGX),Beauty (UGX),Transaction Fees (UGX),Drinks (UGX),Traveling (UGX),Random Expenses (UGX),Bribes (UGX),Invested (UGX),Shopping (UGX),Clothes (UGX),Transportation (UGX),Total Expense (UGX),Net (UGX)
1,"320,000.00","839,500.00","275,000.00","229,800.00",,"157,700.00",,,"123,300.00",,"86,500.00",,"79,200.00",,"15,000.00",,,"2,000.00",,,,,,,,,"1,808,000.00","-1,488,000.00"
2,"2,930,000.00","698,200.00","400,800.00","245,900.00","132,982.00","194,000.00","1,125,000.00","52,500.00","117,600.00",,"15,500.00",,"60,000.00",,"10,000.00",,,"2,700.00","8,000.00",,,,"30,000.00",,,,"3,093,182.00","-163,182.00"
3,"1,970,000.00","295,000.00","537,000.00","464,700.00","280,600.00","405,000.00",,"350,000.00","27,000.00","100,000.00","52,000.00",,"24,500.00","200,000.00","30,000.00",,"60,000.00","3,000.00",,,,,,,,,"2,828,800.00","-858,800.00"
4,"2,628,000.00","949,600.00","805,000.00","286,565.00","562,000.00","423,000.00","180,000.00","110,000.00","30,000.00",,,"80,000.00","74,500.00",,"25,000.00",,,"29,000.00",,"71,000.00","60,000.00",,,,,,"3,685,665.00","-1,057,665.00"
5,"856,000.00","51,000.00","132,000.00","206,600.00","200,000.00","198,000.00","111,000.00",,"42,800.00",,,,"10,500.00",,"15,000.00",,"40,000.00","21,500.00",,,,,,,"15,000.00",,"1,043,400.00","-187,400.00"
6,"3,025,000.00","622,100.00","1,240,000.00","295,000.00","465,000.00","242,270.00","111,000.00","209,500.00","138,200.00","77,700.00","68,500.00",,"114,575.00","12,000.00","26,000.00",,,"10,000.00","74,000.00",,"10,500.00",,,"30,000.00",,,"3,746,345.00","-721,345.00"
7,"2,180,000.00","249,800.00","613,000.00","337,700.00","870,000.00","237,500.00",,"108,500.00","75,000.00","158,000.00",,,"56,000.00","20,500.00","15,000.00",,,"14,800.00",,,,"50,000.00",,,,"8,500.00","2,814,300.00","-634,300.00"
8,"1,485,555.00","561,000.00","487,555.00","1,279,500.00","721,200.00","206,200.00","280,000.00","110,000.00","107,000.00","282,600.00","274,000.00",,"33,500.00",,"50,000.00",,"51,375.00","14,200.00","8,600.00",,,"8,000.00",,,,,"4,474,730.00","-2,989,175.00"
9,"1,515,000.00","1,088,000.00","398,500.00","38,500.00",,"16,000.00",,,"17,000.00","11,000.00",,,"391,000.00","16,500.00",,,"166,000.00",,"4,000.00",,,,,,,,,"2,146,500.00","-631,500.00"
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,"16,909,555.00","5,354,200.00","4,888,855.00","3,384,265.00","3,231,782.00","2,079,670.00","1,807,000.00","940,500.00","677,900.00","629,300.00","496,500.00","471,000.00","469,275.00","232,500.00","186,000.00","166,000.00","151,375.00","101,200.00","90,600.00","71,000.00","70,500.00","58,000.00","30,000.00","30,000.00","15,000.00","8,500.00","25,640,922.00","-8,731,367.00"

