Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=334747764

---

Account,Total In (UGX),Total Out (UGX)
Bank,"131,621,000.00","40,242,960.00"
Mobile Money,"21,560,909.00","114,703,076.00"
Stanbic Debit,"8,020,000.00","28,725,590.00"
MTN Mobile Money,"9,529,030.00","14,432,880.00"
Cash,"6,633,000.00","16,356,051.00"
Credit,"3,000,000.00","30,000.00"
DFCU,"2,098,000.00","388,000.00"
FlexiPay,0.00,"2,400,342.00"
Texol,"200,000.00","300,000.00"
Stanbic Pound,0.00,"343,000.00"
Momo Card,0.00,"272,000.00"
Wise,0.00,"218,600.00"
XENO,0.00,"15,000.00"

