Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=1224962082

---

Group,Subcategory,Total Spent (UGX),% of Spend,Monthly Avg,Daily Avg,# Transactions
Living,Housing,"44,024,250.00",20.12,"677,296.00","19,795.00",110
Health,Medical,"21,133,490.00",9.66,"325,131.00","9,502.00",376
Lifestyle,Social Activities,"16,795,125.00",7.68,"258,387.00","7,552.00",256
Other,Substances,"16,488,800.00",7.54,"253,674.00","7,414.00",200
Living,Car & Fuel,"15,683,755.00",7.17,"241,289.00","7,052.00",257
Living,Groceries,"14,144,424.00",6.46,"217,607.00","6,360.00",390
Peer & People,Peer Payment,"13,727,880.00",6.27,"211,198.00","6,173.00",297
Living,Food & Dining,"11,181,470.00",5.11,"172,023.00","5,028.00",350
Living,Utilities,"10,653,713.00",4.87,"163,903.00","4,790.00",181
Other,Uncategorized,"10,575,270.00",4.83,"162,696.00","4,755.00",256
Living,Communication,"7,598,573.00",3.47,"116,901.00","3,417.00",241
Financial,Loans & Lending,"7,036,555.00",3.22,"108,255.00","3,164.00",56
Work & Business,Staff,"6,755,025.00",3.09,"103,923.00","3,037.00",66
Work & Business,Business Expenses,"3,137,165.00",1.43,"48,264.00","1,411.00",171
Living,Personal Care,"2,497,875.00",1.14,"38,429.00","1,123.00",26
Lifestyle,Miscellaneous,"2,459,275.00",1.12,"37,835.00","1,106.00",77
Lifestyle,Travel,"2,380,000.00",1.09,"36,615.00","1,070.00",13
Giving & Family,Family Support,"2,015,500.00",0.92,"31,008.00",906.00,28
Living,Transport,"1,700,025.00",0.78,"26,154.00",764.00,80
Other,Other,"1,532,000.00",0.7,"23,569.00",689.00,19
Lifestyle,Entertainment,"1,363,000.00",0.62,"20,969.00",613.00,15
Living,Clothing,"907,000.00",0.41,"13,954.00",408.00,8
Lifestyle,Shopping,"889,000.00",0.41,"13,677.00",400.00,12
Lifestyle,Restaurants & Bars,"831,100.00",0.38,"12,786.00",374.00,24
Financial,Savings,"756,000.00",0.35,"11,631.00",340.00,38
Giving & Family,Gifts,"627,000.00",0.29,"9,646.00",282.00,9
Living,Pets,"540,700.00",0.25,"8,318.00",243.00,9
Financial,Bank Charges,"491,729.00",0.22,"7,565.00",221.00,173
Financial,Investments,"330,500.00",0.15,"5,085.00",149.00,16
Work & Business,Education,"306,000.00",0.14,"4,708.00",138.00,4
Health,Hospital,"125,000.00",0.06,"1,923.00",56.00,1
Work & Business,Farm,"110,000.00",0.05,"1,692.00",49.00,1
