Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=1141120465

---

Date,Income,Expenditure,Net,# Transactions
2020-08-05,"100,000.00",0.00,"100,000.00",1
2020-08-06,"180,000.00","180,000.00",0.00,2
2020-08-08,"150,000.00",0.00,"150,000.00",1
2020-08-24,"600,000.00",0.00,"600,000.00",1
2020-09-28,"100,000.00","50,000.00","50,000.00",2
2020-09-29,"100,000.00","165,000.00","-65,000.00",4
2020-10-01,0.00,"35,000.00","-35,000.00",1
2020-10-02,"100,000.00","20,000.00","80,000.00",2
2020-10-03,"173,000.00","169,000.00","4,000.00",10
2020-10-04,0.00,"40,000.00","-40,000.00",1
2020-10-06,"100,000.00",0.00,"100,000.00",1
2020-10-07,"100,000.00","70,000.00","30,000.00",2
2020-10-08,"100,000.00","150,000.00","-50,000.00",3
2020-10-09,0.00,"70,000.00","-70,000.00",1
2020-10-10,"50,000.00",0.00,"50,000.00",1
2020-10-11,0.00,"100,000.00","-100,000.00",1
2021-02-14,0.00,"21,000.00","-21,000.00",1
2021-02-16,0.00,"5,000.00","-5,000.00",1
2021-02-20,0.00,"23,000.00","-23,000.00",1
2021-05-16,0.00,"10,000.00","-10,000.00",1
2021-05-18,0.00,"10,000.00","-10,000.00",1
2021-05-20,0.00,"130,000.00","-130,000.00",1
2021-05-24,0.00,"10,000.00","-10,000.00",1
2021-05-26,0.00,"51,000.00","-51,000.00",2
2021-06-02,0.00,"532,000.00","-532,000.00",2
2021-06-03,0.00,"19,000.00","-19,000.00",2
2021-06-04,0.00,"20,000.00","-20,000.00",1
2021-06-05,0.00,"72,000.00","-72,000.00",2
2021-06-06,0.00,"34,000.00","-34,000.00",2
2021-06-07,0.00,"10,000.00","-10,000.00",1
2021-06-08,"10,000.00","39,000.00","-29,000.00",4
2021-06-09,0.00,"203,000.00","-203,000.00",4
2021-06-10,0.00,"451,000.00","-451,000.00",4
2021-06-11,0.00,"70,000.00","-70,000.00",2
2021-06-12,0.00,"10,000.00","-10,000.00",1
2021-06-13,0.00,"80,000.00","-80,000.00",2
2021-06-14,0.00,"275,000.00","-275,000.00",3
2021-06-16,0.00,"35,000.00","-35,000.00",2
2021-06-17,0.00,"30,000.00","-30,000.00",2
2021-06-20,0.00,"25,000.00","-25,000.00",2
2021-06-22,0.00,"65,000.00","-65,000.00",2
2021-06-23,"220,000.00","51,000.00","169,000.00",5
2021-06-24,0.00,"20,000.00","-20,000.00",1
2021-06-25,"650,000.00","153,500.00","496,500.00",4
2021-06-26,0.00,"50,000.00","-50,000.00",3
2021-06-27,0.00,"57,000.00","-57,000.00",3
2021-06-28,0.00,"6,500.00","-6,500.00",1
2021-06-29,0.00,"27,000.00","-27,000.00",2
2021-06-30,0.00,"37,000.00","-37,000.00",2
2021-07-02,0.00,"37,000.00","-37,000.00",2
2021-07-04,0.00,"37,000.00","-37,000.00",2
2021-07-06,0.00,"37,000.00","-37,000.00",2
2021-07-07,0.00,"20,000.00","-20,000.00",1
2021-07-08,0.00,"37,000.00","-37,000.00",2
2021-07-09,0.00,"34,000.00","-34,000.00",2
2021-07-10,0.00,"37,000.00","-37,000.00",2
2021-07-12,0.00,"60,000.00","-60,000.00",4
2021-07-14,0.00,"37,000.00","-37,000.00",2
2021-07-16,0.00,"35,000.00","-35,000.00",2
2021-07-18,0.00,"38,000.00","-38,000.00",2
2021-07-20,0.00,"37,000.00","-37,000.00",2
2021-07-21,"30,400.00","37,000.00","-6,600.00",3
2021-07-22,0.00,"37,000.00","-37,000.00",2
2021-07-23,0.00,"70,000.00","-70,000.00",2
2021-07-26,0.00,"52,000.00","-52,000.00",2
2021-07-28,0.00,"67,000.00","-67,000.00",3
2021-07-30,0.00,"45,000.00","-45,000.00",1
2021-08-01,"47,000.00","173,000.00","-126,000.00",6
2021-08-03,0.00,"378,000.00","-378,000.00",5
2021-08-05,0.00,"52,000.00","-52,000.00",2
2021-08-06,0.00,"80,000.00","-80,000.00",1
2021-08-07,0.00,"100,000.00","-100,000.00",1
2021-08-08,0.00,"52,000.00","-52,000.00",2
2021-08-11,0.00,"37,000.00","-37,000.00",2
2021-08-12,0.00,"15,000.00","-15,000.00",1
2021-08-14,0.00,"30,000.00","-30,000.00",1
2021-08-15,0.00,"150,000.00","-150,000.00",1
2021-08-16,0.00,"90,000.00","-90,000.00",3
2021-08-17,0.00,"5,000.00","-5,000.00",1
2021-08-20,0.00,"50,000.00","-50,000.00",1
2021-08-25,0.00,"119,000.00","-119,000.00",2
2021-08-26,0.00,"30,000.00","-30,000.00",1
2021-08-27,0.00,"60,000.00","-60,000.00",2
2021-09-02,0.00,"40,000.00","-40,000.00",1
2021-09-03,0.00,"21,000.00","-21,000.00",1
2021-09-04,0.00,"72,000.00","-72,000.00",2
2021-09-07,"400,000.00","762,000.00","-362,000.00",5
2021-09-09,0.00,"177,000.00","-177,000.00",4
2021-09-10,0.00,"16,000.00","-16,000.00",1
2021-09-11,"28,000.00",0.00,"28,000.00",1
2021-09-12,0.00,"421,000.00","-421,000.00",5
2021-09-14,0.00,"20,000.00","-20,000.00",1
2021-09-15,0.00,"8,000.00","-8,000.00",1
2021-09-16,"515,250.00","16,000.00","499,250.00",2
2021-09-19,"29,000.00",0.00,"29,000.00",1
2021-09-20,0.00,"63,000.00","-63,000.00",2
2021-09-21,0.00,"107,000.00","-107,000.00",2
2021-09-25,0.00,"72,000.00","-72,000.00",4
2021-09-26,0.00,"45,000.00","-45,000.00",2
2021-09-27,"17,000.00",0.00,"17,000.00",1
2021-09-28,"8,000.00","83,000.00","-75,000.00",4
2021-09-30,"50,000.00","122,000.00","-72,000.00",4
2021-10-02,0.00,"208,500.00","-208,500.00",2
2021-10-03,0.00,"186,000.00","-186,000.00",4
2021-10-04,"65,000.00","76,000.00","-11,000.00",3
2021-10-05,"300,000.00","160,000.00","140,000.00",3
2021-10-06,0.00,"180,000.00","-180,000.00",2
2021-10-07,0.00,"115,000.00","-115,000.00",3
2021-11-07,0.00,"12,000.00","-12,000.00",1
2021-11-08,0.00,"33,500.00","-33,500.00",2
2021-11-09,"100,000.00","110,000.00","-10,000.00",2
2021-11-10,0.00,"7,000.00","-7,000.00",1
2021-11-11,0.00,"193,500.00","-193,500.00",4
2021-11-12,0.00,"224,000.00","-224,000.00",5
2021-11-13,0.00,"18,000.00","-18,000.00",2
2021-11-14,0.00,"41,500.00","-41,500.00",3
2021-11-16,0.00,"110,000.00","-110,000.00",1
2021-11-17,0.00,"16,000.00","-16,000.00",1
2021-11-18,0.00,"42,000.00","-42,000.00",1
2021-11-19,"500,000.00","614,000.00","-114,000.00",6
2021-11-21,0.00,"48,000.00","-48,000.00",3
2021-11-23,0.00,"135,000.00","-135,000.00",4
2021-11-24,0.00,"33,000.00","-33,000.00",2
2021-11-25,"30,000.00","61,500.00","-31,500.00",5
2021-11-26,0.00,"16,000.00","-16,000.00",1
2021-11-28,0.00,"26,000.00","-26,000.00",1
2021-11-29,0.00,"3,500.00","-3,500.00",1
2021-11-30,0.00,"46,000.00","-46,000.00",2
2021-12-01,"11,000.00",0.00,"11,000.00",1
2021-12-02,"2,000,000.00",0.00,"2,000,000.00",1
2021-12-03,0.00,"73,500.00","-73,500.00",4
2021-12-04,"2,200,000.00","100,000.00","2,100,000.00",3
2021-12-05,0.00,"110,000.00","-110,000.00",1
2021-12-06,0.00,"949,500.00","-949,500.00",4
2021-12-07,0.00,"88,500.00","-88,500.00",3
2021-12-12,"27,000.00",0.00,"27,000.00",1
2021-12-13,"45,000.00","122,000.00","-77,000.00",6
2021-12-14,0.00,"35,600.00","-35,600.00",2
2021-12-16,0.00,"100,000.00","-100,000.00",2
2021-12-18,0.00,"20,000.00","-20,000.00",1
2021-12-20,0.00,"15,000.00","-15,000.00",1
2021-12-22,0.00,"147,000.00","-147,000.00",3
2021-12-23,"15,000.00","20,980.00","-5,980.00",2
2021-12-24,0.00,"11,500.00","-11,500.00",1
2021-12-25,"82,500.00",0.00,"82,500.00",1
2021-12-30,0.00,"100,000.00","-100,000.00",1
2021-12-31,0.00,"40,000.00","-40,000.00",1
2022-01-02,0.00,"40,000.00","-40,000.00",1
2022-01-04,0.00,"35,000.00","-35,000.00",2
2022-01-06,0.00,"50,000.00","-50,000.00",1
2022-01-08,0.00,"100,000.00","-100,000.00",1
2022-01-13,"20,000.00","20,000.00",0.00,2
2022-01-20,0.00,"100,000.00","-100,000.00",1
2022-01-21,0.00,"85,000.00","-85,000.00",1
2022-01-22,0.00,"70,000.00","-70,000.00",1
2022-01-24,0.00,"172,000.00","-172,000.00",3
2022-01-25,0.00,"15,000.00","-15,000.00",1
2022-01-26,0.00,"35,000.00","-35,000.00",1
2022-01-27,0.00,"10,000.00","-10,000.00",1
2022-01-28,0.00,"11,000.00","-11,000.00",1
2022-01-29,0.00,"81,000.00","-81,000.00",2
2022-01-30,0.00,"30,000.00","-30,000.00",1
2022-01-31,"250,000.00",0.00,"250,000.00",1
2022-02-01,0.00,"100,000.00","-100,000.00",1
2022-02-03,0.00,"200,000.00","-200,000.00",1
2022-02-10,0.00,"70,000.00","-70,000.00",1
2022-02-11,0.00,"50,000.00","-50,000.00",1
2022-02-12,0.00,"36,000.00","-36,000.00",1
2022-02-14,0.00,"60,000.00","-60,000.00",1
2022-02-15,"25,880.00",0.00,"25,880.00",1
2022-02-16,0.00,"55,000.00","-55,000.00",1
2022-02-18,0.00,"100,000.00","-100,000.00",1
2022-02-22,0.00,"77,300.00","-77,300.00",1
2022-02-24,0.00,"250,000.00","-250,000.00",1
2022-02-25,0.00,"30,000.00","-30,000.00",1
2022-03-01,"4,000,000.00",0.00,"4,000,000.00",2
2022-03-03,0.00,"834,000.00","-834,000.00",2
2022-03-04,0.00,"198,075.00","-198,075.00",5
2022-03-06,0.00,"351,000.00","-351,000.00",3
2022-03-08,0.00,"57,000.00","-57,000.00",2
